"Id","Title","URL","Author","Co-Author","IsSpliced?","Plays","Splices","Released Splices","Likes","Date","Comments"
49,"Future Bubble by Alex Menco (Future House, Club House, EDM) / Midi Production","https://splice.com/alexmenco/future-bubble-by-alex-menco-future-house-club-house-edm--midi-production","alexmenco","-","False","586","23","0","6","13/07/2018","0"
50,"TOP 1 Beatport REMAKE - Bassjackers feat. Luciana - Fireflies (Alex Menco Ableton Live Template)","https://splice.com/alexmenco/top-1-beatport-remake---bassjackers-feat-luciana---fireflies-alex-menco-ableton-live-template","alexmenco","-","False","609","60","0","6","13/07/2018","1"
51,"TOP 1 Beatport REMAKE - Bassjackers feat. Luciana - Fireflies (Alex Menco Logic Pro X Template)","https://splice.com/alexmenco/top-1-beatport-remake---bassjackers-feat-luciana---fireflies-alex-menco-logic-pro-x-template","alexmenco","-","False","1,609","180","0","15","13/07/2018","0"
52,"TOP 1 Beatport REMAKE - Croatia Squad&Lika Morgan - Make You Move (Alex Menco Logic Pro X & Ableton Live Template)","https://splice.com/alexmenco/top-1-beatport-remake---croatia-squadlika-morgan---make-you-move-alex-menco-logic-pro-x--ableton-live-template","alexmenco","-","False","924","49","0","7","13/07/2018","0"
53,"TOP 1 Beatport REMAKE - KSHMR feat. Sidnie Tipton - Wildcard (Alex Menco Ableton Live & Logic Pro X Template)","https://splice.com/alexmenco/top-1-beatport-remake---kshmr-feat-sidnie-tipton---wildcard-alex-menco-ableton-live--logic-pro-x-template","alexmenco","-","False","1,142","54","0","5","13/07/2018","0"
54,"Alex Splice Musical Share","https://splice.com/alexruthmann/alex-splice-musical-share","alexruthmann","ethanh-marsattacks-adampatrickbell-puniit10-jacqulyn123789","False","125","2","0","0","13/07/2018","0"
55,"KingKong","https://splice.com/alexruthmann/kingkong","alexruthmann","therewasaguy-marsattacks-ethanhein-adampatrickbell","False","1,217","18","0","8","13/07/2018","13"
56,"title","https://splice.com/andresh/f972982e-028c-e980-b86f-b263690d5af5cd3ec18","andresh","aylen","False","63","1","0","0","13/07/2018","1"
57,"title","https://splice.com/andresh/title","andresh","aylen","False","274","3","0","2","13/07/2018","1"
58,"Bro Safari x Andromulus - Mysterland Collab idea V1","https://splice.com/Andromulus/bro-safari-x-andromulus---mysterland-collab-idea-v1","Andromulus","-","https://splice.com/brosafari/mysteryland-contest","1,674","0","0","36","13/07/2018","7"
59,"mizzusicall","https://splice.com/andy/3397fdec-0a98-2c80-bc3d-17290c499f5c4557bec","andy","_devonjames-moredani-opffer","False","47","2","0","1","13/07/2018","0"
60,"sinister wave","https://splice.com/andy/4a075e88-0707-0080-db0a-6b8c7a8c360ac221aa2","andy","fuzuku-dysrupt-erinbarra-bae_bro-philmatic","False","107","5","0","0","13/07/2018","1"
61,"spliceroni","https://splice.com/andy/6cd6cbb7-0ac9-2780-0c08-00c40d244de259beea8","andy","themetabeing-endlessspace-matth-soundsdefygravity-dysrupt-chrislyons-geometree-professor_bombay","False","93","3","0","0","13/07/2018","1"
62,"andysplice","https://splice.com/andy/andysplice","andy","brett-fuzuku-sneamonitakis-marsattacks","False","206","5","0","0","13/07/2018","0"
63,"anytown, india","https://splice.com/andy/anytown-india","andy","sneamonitakis-professor_bombay-youngtrane-bakir","False","524","32","0","9","13/07/2018","0"
64,"depth","https://splice.com/andy/depth","andy","smart-mattetti-capcom-jakelamante-neil-adamflorin-sneamonitakis-rebase","False","374","14","0","2","13/07/2018","1"
65,"what is theees","https://splice.com/andy/fc008b91-0d08-1a80-fd50-3a91451ab08ec2c3092","andy","fuzuku-adamflorin-sneamonitakis-professor_bombay-marsattacks","False","171","3","0","0","13/07/2018","1"
66,"ish boat","https://splice.com/andy/ish-boat","andy","barbershreds-nacl-tholex-sneamonitakis","False","168","1","0","5","13/07/2018","5"
67,"mizzusicall","https://splice.com/andy/mizzusicall","andy","_devonjames-moredani-opffer","False","25","1","0","1","13/07/2018","0"
68,"nu regg","https://splice.com/andy/nu-regg","andy","-","False","488","17","0","2","13/07/2018","0"
69,"play sesh","https://splice.com/andy/play-sesh","andy","professor_bombay","False","119","2","0","0","13/07/2018","0"
70,"shreddalhead","https://splice.com/andy/shreddalhead","andy","smart-sneamonitakis-adamsplice-splicestudios","False","758","12","0","1","13/07/2018","2"
71,"sinister wave","https://splice.com/andy/sinister-wave","andy","fuzuku-dysrupt-erinbarra-bae_bro-philmatic","False","306","4","0","2","13/07/2018","1"
72,"slo-mo","https://splice.com/andy/slo-mo","andy","-","False","738","29","0","5","13/07/2018","0"
73,"spliceroni","https://splice.com/andy/spliceroni","andy","themetabeing-endlessspace-matth-soundsdefygravity-dysrupt-chrislyons-geometree-professor_bombay","False","216","4","2","0","13/07/2018","3"
74,"what is theees","https://splice.com/andy/what-is-theees","andy","fuzuku-adamflorin-sneamonitakis-professor_bombay-marsattacks","False","136","0","0","0","13/07/2018","1"
75,"you know my steez-icles","https://splice.com/andy/you-know-my-steez-icles","andy","barbershreds-chrislyons-geometree-therajav-bae_bro-professor_bombay","False","160","6","0","2","13/07/2018","4"
76,"David Guetta + Showtek - Sun Goes Down (TuneUp Remix)","https://splice.com/Arad/david-guetta--showtek---sun-goes-down-feat-magic--sonny-wilson","Arad","-","https://splice.com/DavidGuetta/sun-goes-down-contest","82","0","0","4","13/07/2018","1"
77,"Feel Your Love Remix (*Found Collaborator*)","https://splice.com/Arad/feel-your-love-remix-collab","Arad","-","False","2,129","83","0","12","13/07/2018","2"
78,"Julian Calor - Evolve (TuneUp Remix)","https://splice.com/Arad/julian-calor---evolve-tuneup-remix","Arad","-","https://splice.com/JulianCalor/evolvecontest","100","0","0","6","13/07/2018","1"
79,"TuneUp - The Middle East (Original Mix)","https://splice.com/Arad/tuneup---the-middle-east-original-mix","Arad","-","https://splice.com/kshmr/sounds-of-kshmr-contest","149","0","0","11","13/07/2018","4"
80,"Wanna Collab?","https://splice.com/Arad/wanna-collab","Arad","-","False","5,810","339","1","66","13/07/2018","17"
81,"Who wants to collaborate?!","https://splice.com/Arad/who-wants-to-collaborate","Arad","-","False","489","33","0","5","13/07/2018","0"
82,"Tutorial Tuesday: Neurofunk Episode 1","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-1","artfx","-","False","2,279","147","2","23","13/07/2018","6"
83,"Tutorial Tuesday: Neurofunk Episode 10","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-10","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-9","1,409","100","1","14","13/07/2018","4"
84,"Tutorial Tuesday: Neurofunk Episode 11","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-11","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-10","1,511","97","2","9","13/07/2018","2"
85,"Tutorial Tuesday: Neurofunk Episode 12","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-12","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-11","485","47","1","4","13/07/2018","1"
86,"Tutorial Tuesday: Neurofunk Episode 13 & 14","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-13--14","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-12","373","29","1","6","13/07/2018","0"
87,"Tutorial Tuesday: Neurofunk Episode 15","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-15","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-13--14","716","93","0","7","13/07/2018","1"
88,"Tutorial Tuesday: Neurofunk Episode 16","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-16","artfx","-","False","685","53","0","8","13/07/2018","0"
