Username;AuthorPlays;AuthorLikes;Followers;SignUp Date;Releases;HasBio
Midnik;81;6;3;22/01/2015;3;True
mikekavouras;348;1;9;22/01/2014;2;False
mikhail;12892;174;35;22/01/2014;12;False
mimart;2112;26;38;22/01/2014;10;True
mimarto;293;2;7;22/01/2014;1;True
moby;10017;79;59;22/12/2017;2;True
MoervinUrban;3475;38;11;21/01/2017;11;False
Monstercat;18824;331;229;21/01/2017;2;False
moongiia;682;10;5;22/01/2014;7;True
Moonlapse;10031;37;6;22/01/2015;2;False
Moose33;1112;13;0;22/01/2015;1;False
moredani;135;2;4;22/01/2015;3;True
morganpage;24407;403;190;22/01/2015;3;True
mpigsley;694;1;4;22/01/2015;3;True
mrbillstunes;17631;152;257;22/01/2015;7;True
mrcart3r;1112;13;2;22/01/2014;1;False
mswinck;1267;6;0;22/01/2015;4;False
mtoush;1112;13;0;22/01/2015;1;False
MTX;38;0;3;22/01/2016;1;True
multiplier;21247;152;327;22/01/2014;15;True
MusicByBrooks;1112;13;1;22/01/2015;1;False
mussarmusic;3922;63;13;22/01/2016;3;False
mynameistom;3914;62;9;22/01/2014;2;True
N3S0;10775;151;28;21/01/2017;8;False
nacl;168;5;3;22/01/2014;1;False
nancydrew;1112;13;0;22/01/2015;1;False
Nathonisme;276;15;2;26/05/2017;6;True
nebyoolae;9735;29;4;22/01/2015;2;True
neil;2121;25;31;22/01/2014;12;True
NERVOmusic;28971;464;120;21/01/2017;1;False
nghtmre;22992;373;97;22/01/2014;1;False
nickace;1085;3;0;22/01/2014;5;False
nickgordon;0;0;1;22/01/2014;1;False
nightkites;546;8;4;09/01/2018;1;True
NikitaEntourage;1112;13;0;22/01/2015;1;False
no1dinosaur;1112;13;0;22/01/2015;1;False
NoahMcGuire;710;20;0;22/01/2015;2;False
notoriousb;178;8;9;22/01/2015;2;True
novationade;1267;6;1;22/01/2015;4;False
nuance;3971;64;10;22/01/2015;5;True
OceanRift;1600;12;3;22/01/2016;2;True
od_;149;3;1;22/01/2015;1;True
oddio;1112;13;0;22/01/2015;1;False
