Title;Author;Co-Author;IsSpliced;Plays;Splices;Released Splices;Likes;Date;Comments
TOP 1 Beatport REMAKE - Bassjackers feat. Luciana - Fireflies (Alex Menco Logic Pro X Template);alexmenco;-;False;1416;165;0;14;22/01/2017;0
title;andresh;aylen;False;63;1;0;0;23/01/2015;1
title;andresh;aylen;False;274;3;0;2;23/01/2015;1
ish boat;andy;barbershreds-nacl-tholex-sneamonitakis;False;168;1;0;5;23/01/2015;5
what is theees;andy;fuzuku-adamflorin-sneamonitakis-professor_bombay-marsattacks;False;136;0;0;0;23/01/2015;1
shreddalhead;andy;smart-sneamonitakis-adamsplice-splicestudios;False;756;12;0;1;23/01/2015;2
sinister wave;andy;fuzuku-dysrupt-erinbarra-bae_bro-philmatic;False;306;4;0;2;23/01/2015;1
mizzusicall;andy;_devonjames-moredani-opffer;False;47;2;0;1;23/01/2015;0
mizzusicall;andy;_devonjames-moredani-opffer;False;25;1;0;1;23/01/2015;0
nu regg;andy;-;False;488;17;0;2;23/01/2016;0
slo-mo;andy;-;False;733;29;0;5;23/01/2016;0
depth;andy;smart-mattetti-capcom-jakelamante-neil-adamflorin-sneamonitakis-rebase;False;373;14;0;2;23/01/2015;1
anytown, india;andy;sneamonitakis-professor_bombay-youngtrane-bakir;False;521;32;0;9;23/01/2016;0
spliceroni;andy;themetabeing-endlessspace-matth-soundsdefygravity-dysrupt-chrislyons-geometree-professor_bombay;False;216;4;2;0;23/01/2014;3
Who wants to collaborate?!;Arad;-;False;489;33;0;5;23/01/2015;0
Wanna Collab?;Arad;-;False;5809;339;1;66;23/01/2016;17
Feel Your Love Remix (*Found Collaborator*);Arad;-;False;2129;83;0;12;23/01/2016;2
DeepZizi (Sleepwalk Mix);artofsampling;-;False;168;2;0;3;23/01/2015;0
Ghould House Sampler;artofsampling;-;False;396;7;0;2;23/01/2015;0
ZamplerClapMachine;artofsampling;-;False;325;3;0;0;23/01/2015;0
Ambience Effects;artofsampling;-;False;295;0;0;2;23/01/2015;0
ThrillseekerVarietyofsound (deep);artofsampling;-;False;209;2;0;2;23/01/2015;0
MolotDemo;artofsampling;-;False;37;0;0;0;23/01/2015;0
Pilgrimdemo;artofsampling;-;False;47;1;0;0;23/01/2015;0
J74Lim6demo;artofsampling;-;False;64;2;0;0;23/01/2015;0
MeldaDemo;artofsampling;-;False;170;0;0;1;23/01/2015;0
Radioactive Tunnel;artofsampling;-;False;810;40;0;8;23/01/2015;3
little pony;Asthmatik;-;False;477;2;0;3;23/01/2016;0
ABANDONED DREAMS;Asthmatik;-;False;98;2;0;0;24/10/2017;0
Science;aukie;-;False;183;11;0;4;23/01/2016;0
Low Level Language;aukie;-;False;113;3;0;1;23/01/2016;0
Musikal Shares;aylen;brett-doodle;False;3;6;0;0;23/01/2015;0
The Cave;aylen;-;False;773;14;0;2;23/01/2015;6
Frozen Spirits;Azodiac;-;False;1732;121;1;28;22/01/2017;4
Black Rose;Azodiac;-;False;2951;158;0;55;25/08/2017;8
Bae Bro;bae_bro;andy-dysrupt-erinbarra;False;82;1;0;0;23/01/2014;0
Rae Sremmurd - No Flex Zone (Baewatch Trap Bootleg);Baewatch;-;False;7700;671;1;112;23/01/2015;5
Splice Pon Babylon;bakir;sneamonitakis-marsattacks-sedadbk;False;77;4;0;2;23/01/2015;2
Splice Pon Babylon;bakir;sneamonitakis-marsattacks-sedadbk;False;135;1;0;1;23/01/2015;4
Splice Pon Babylon;bakir;sneamonitakis-marsattacks-sedadbk;False;171;4;0;5;23/01/2015;1
U-NO-LX;batrak;-;False;1622;141;0;23;23/01/2016;0
Splice July 17th Midi Challenge (Project FIle);Beluga;-;False;128;6;0;0;23/01/2015;0
Deep Dream;Beluga;-;False;506;1;0;3;23/01/2016;0
Leucas;Beluga;-;False;377;13;0;3;23/01/2016;0
Cetaceans;Beluga;-;False;326;23;0;4;23/01/2016;0
melonhead;Beluga;-;False;242;13;0;3;23/01/2016;0
Monodontidae;Beluga;-;False;886;33;0;7;23/01/2016;1
Chain;Beluga;-;False;225;8;0;0;23/01/2016;0
GHS Song;Beluga;-;False;146;0;0;0;23/01/2016;0
Dancehall, afrotrap, rap/cloudrap type beat;BenOwlens;-;False;1038;44;0;5;23/11/2017;0
Hiphop, rap/cloudrap type beat;BenOwlens;-;False;759;27;0;1;23/12/2017;0
Blondi - In The Groove;Blondifox;-;False;627;41;0;18;24/10/2017;4
Blondi - Aphelion;Blondifox;-;False;146;3;0;1;24/10/2017;0
Blondi - Here Lies Dragons;Blondifox;-;False;216;8;0;0;24/10/2017;0
Happy Me Loop;Blondifox;-;False;124;2;0;1;24/10/2017;0
Blondi - Bark Bark;Blondifox;-;False;293;9;0;2;23/11/2017;0
beat 1-1 Slow;BOXXXX;-;False;350;12;0;3;24/10/2017;0
Dubstep (Eptic, Virtual Riot, Barely Alive, Panda Eyes, Excision);BOXXXX;-;False;2707;184;0;33;24/10/2017;2
Br3akPoint - Zero Tolerance;Br3akPoint;-;False;1964;54;0;16;28/03/2017;2
Br3akPoint - Bring the House Down;Br3akPoint;-;False;1559;37;0;15;28/03/2017;12
Br3akPoint x XS - Freedom (TEASER PREVIEW) UNFINISHED;Br3akPoint;-;False;2118;73;0;24;27/04/2017;14
